Marka;Nadwozie;Silnik;Kolor;Cena;Rok Zakupu;Plec Kupujacego;Wiek Kupujacego;Stan
Cadilac;Hatch-back;3.5;Fioletowy;101502;2010;M;69;Michigan
Dodge;Kombi;1.5;Brazowy;375273;2016;M;59;North Carolina
Chevrolet;Sedan;4.5;Fioletowy;255326;2020;K;24;Massachusetts
Mercedes;Sedan;5.0;Srebrny;423207;2010;M;41;Massachusetts
Ford;SUV;3.0;Fioletowy;133409;2011;M;49;Louisiana
Volkswagen;Pick-up;5.0;Czarny;459848;2017;M;30;New Jersey
Cadilac;Sedan;3.5;Czerwony;74728;2014;K;35;Maine
Chevrolet;Hatch-back;5.0;Szary;235116;2010;K;33;Maryland
Mercedes;Pick-up;3.5;Bialy;470164;2012;M;22;Maine
Cadilac;Sedan;1.5;Szary;234442;2008;K;24;DC
Mercedes;Hatch-back;3.5;Fioletowy;223048;2012;K;33;New Jersey
Volkswagen;Minivan;3.5;Czerwony;397159;2017;M;25;North Carolina
Honda;Minivan;4.5;Fioletowy;338190;2015;K;50;Florida
Chrysler;Cupe;5.0;Srebrny;100567;2010;M;29;Ohio
Dodge;Cupe;5.0;Szary;137418;2018;M;37;Idaho
Cadilac;Sedan;1.5;Szary;381170;2012;M;69;Hawaii
Mercedes;Pick-up;5.0;Rozowy;430374;2010;M;38;Florida
Chevrolet;Kombi;2.5;Rozowy;242481;2020;K;43;North Dakota
Mercedes;Pick-up;4.0;Zielony;168022;2012;K;36;Maryland
Dodge;Kabriolet;3.0;Zielony;92592;2012;M;55;Rhode Island
Honda;Kombi;3.0;Fioletowy;375710;2015;K;20;Alaska
Dodge;Pick-up;3.0;Czerwony;321139;2017;K;56;Nevada
Chevrolet;Kombi;1.5;Fioletowy;97503;2010;K;26;Florida
BMW;Minivan;4.0;Szary;173655;2020;K;60;Montana
BMW;SUV;5.0;Srebrny;343750;2014;K;23;Virginia
Chevrolet;Sedan;2.5;Brazowy;240108;2008;M;66;New Mexico
Honda;Sedan;1.5;Czerwony;444482;2009;M;48;North Dakota
Audi;Sedan;4.0;Brazowy;63452;2010;M;43;New Hampshire
Nissan;Sedan;3.5;Brazowy;59760;2013;K;70;Oklahoma
Audi;Sedan;5.0;Bialy;147308;2016;M;46;Tennessee
BMW;Pick-up;4.0;Czarny;309842;2020;K;45;Missouri
Toyota;Minivan;2.0;Czarny;260450;2011;K;59;North Carolina
Toyota;Pick-up;4.5;Rozowy;268458;2013;K;38;New Hampshire
Nissan;Sedan;4.0;Rozowy;97440;2013;M;28;Alaska
Mercedes;Hatch-back;3.0;Bialy;79492;2009;K;38;Michigan
Volkswagen;SUV;2.0;Srebrny;295838;2014;M;36;Illinois
Cadilac;SUV;1.5;Fioletowy;243415;2020;M;43;Hawaii
Toyota;Cupe;4.5;Zolty;484198;2011;M;23;Wisconsin
Chevrolet;Cupe;3.5;Bialy;296926;2013;K;54;Pennsylvania
BMW;Sedan;3.0;Zielony;236881;2011;M;20;Pennsylvania
Volkswagen;Sedan;2.0;Czerwony;458720;2008;M;42;South Carolina
Chevrolet;Kabriolet;4.5;Zielony;269902;2015;K;61;Arkansas
Cadilac;Sedan;1.5;Czerwony;204909;2015;M;70;Kentucky
BMW;SUV;4.0;Zielony;231976;2009;K;58;Nebraska
Honda;Sedan;5.0;Bialy;91248;2020;M;47;Wyoming
Audi;Minivan;4.0;Brazowy;312354;2008;K;65;New York
Honda;Sedan;4.0;Rozowy;148860;2017;M;34;Iowa
Audi;Sedan;3.5;Bialy;437890;2013;K;54;Minnesota
Volkswagen;Hatch-back;5.0;Zielony;189151;2008;K;39;Maine
Nissan;Cupe;2.0;Bialy;93095;2015;K;58;Maine
Nissan;Pick-up;5.0;Zolty;406455;2018;M;31;Wyoming
Cadilac;SUV;5.0;Brazowy;157346;2011;K;61;Wyoming
Chevrolet;Sedan;3.5;Bialy;44140;2016;K;62;Maryland
Ford;Cupe;3.5;Zielony;492347;2016;K;45;South Carolina
BMW;Hatch-back;2.0;Zielony;161480;2011;M;69;Pennsylvania
Volkswagen;Sedan;5.0;Zielony;315551;2016;M;28;Nevada
Volkswagen;Pick-up;2.5;Czarny;116947;2008;K;55;Rhode Island
Chevrolet;Cupe;3.5;Zielony;419256;2018;K;29;Alabama
Chrysler;Sedan;1.5;Niebieski;48017;2013;M;34;Montana
BMW;SUV;4.5;Czerwony;291918;2018;M;27;Oregon
Ford;SUV;5.0;Brazowy;136367;2019;M;61;Indiana
Honda;Hatch-back;3.5;Niebieski;474580;2018;M;35;Mississippi
Dodge;Cupe;4.0;Bialy;89956;2013;M;52;New York
BMW;Cupe;3.0;Srebrny;349551;2013;K;47;Rhode Island
Honda;Minivan;5.0;Szary;80426;2016;M;56;Wyoming
Audi;Pick-up;3.0;Bialy;205701;2014;M;33;Montana
Dodge;SUV;3.5;Bialy;33929;2008;M;38;Kentucky
Audi;Minivan;2.0;Bialy;58234;2014;K;35;South Carolina
Mercedes;Sedan;4.0;Szary;237030;2014;K;70;Indiana
Toyota;Kombi;2.0;Czerwony;465204;2009;M;32;New Mexico
Nissan;Minivan;4.0;Czarny;112294;2013;M;20;New Mexico
Volkswagen;Kabriolet;5.0;Szary;63090;2019;K;45;New Hampshire
Nissan;Kombi;1.5;Czarny;246841;2011;K;49;Indiana
Honda;Hatch-back;2.5;Szary;484080;2008;K;31;Utah
Ford;Sedan;2.5;Czerwony;99811;2014;K;50;Iowa
Honda;Kabriolet;1.5;Rozowy;59114;2020;K;30;Delaware
Dodge;Minivan;3.0;Zolty;338524;2019;M;51;Virginia
Toyota;Cupe;3.0;Szary;370644;2015;M;54;West Virginia
Ford;Kombi;4.5;Fioletowy;178257;2018;M;51;South Carolina
Honda;Sedan;2.5;Czerwony;452961;2008;K;39;Alaska
BMW;Cupe;4.0;Szary;460340;2020;K;59;Pennsylvania
Honda;Cupe;2.5;Czarny;312408;2015;M;48;California
BMW;Sedan;5.0;Czarny;97402;2020;K;42;Nevada
Nissan;Sedan;4.5;Niebieski;461836;2010;M;29;Hawaii
Dodge;Cupe;3.0;Szary;309799;2011;M;20;California
BMW;Hatch-back;2.5;Czerwony;164543;2009;K;51;Tennessee
Toyota;Kombi;3.0;Niebieski;437322;2009;M;39;North Dakota
Nissan;Sedan;3.0;Bialy;346655;2016;K;57;Rhode Island
Chevrolet;Hatch-back;1.5;Fioletowy;131718;2013;M;36;Virginia
Audi;Hatch-back;2.0;Rozowy;362777;2020;M;46;Massachusetts
BMW;Sedan;4.5;Niebieski;434864;2009;M;59;New Hampshire
Honda;Sedan;5.0;Rozowy;262785;2011;M;55;West Virginia
Honda;Hatch-back;3.5;Zolty;315960;2012;M;69;Kansas
Dodge;SUV;1.5;Czerwony;306325;2018;M;21;Utah
Cadilac;SUV;5.0;Rozowy;100146;2017;K;21;Missouri
Cadilac;SUV;2.0;Fioletowy;232466;2016;K;30;Wisconsin
Chrysler;SUV;4.0;Zolty;201601;2014;M;68;Pennsylvania
Ford;Hatch-back;4.5;Zielony;113660;2012;K;55;Oregon
Nissan;Minivan;3.5;Brazowy;246256;2012;K;47;Delaware
Chrysler;Minivan;3.0;Szary;119194;2019;M;45;Massachusetts
Chrysler;Minivan;3.0;Zielony;221861;2009;M;34;Virginia
Audi;Kabriolet;5.0;Fioletowy;53340;2008;K;64;Delaware
Ford;Sedan;4.5;Fioletowy;237316;2013;M;69;Mississippi
Chrysler;Minivan;3.5;Srebrny;356891;2020;M;70;Alabama
Nissan;Pick-up;1.5;Czarny;449658;2008;K;30;Alaska
Audi;SUV;4.5;Zolty;356905;2016;M;63;Idaho
Mercedes;Kombi;2.0;Brazowy;143332;2017;K;30;New Hampshire
Chevrolet;Sedan;4.5;Rozowy;91256;2010;K;42;Iowa
Chevrolet;Kombi;3.5;Brazowy;108473;2020;M;43;Arkansas
Honda;Hatch-back;4.5;Fioletowy;377167;2018;M;51;Massachusetts
Dodge;Cupe;2.5;Szary;282500;2017;K;43;North Dakota
Cadilac;Hatch-back;2.0;Zielony;345325;2013;M;65;North Dakota
BMW;SUV;5.0;Zolty;441121;2018;K;64;Delaware
Audi;Sedan;3.5;Niebieski;395774;2018;M;22;Indiana
Honda;Kombi;3.5;Rozowy;208014;2015;K;28;Alabama
Dodge;Cupe;2.0;Zolty;439878;2009;M;44;Louisiana
Cadilac;Kombi;1.5;Czerwony;328075;2019;M;27;Ohio
BMW;Sedan;4.5;Czarny;426199;2010;M;34;Vermont
BMW;Sedan;4.5;Brazowy;378086;2008;M;36;Pennsylvania
Dodge;Hatch-back;2.0;Szary;334884;2013;M;27;Georgia
Honda;Sedan;4.5;Czarny;57851;2015;K;44;Florida
Ford;Pick-up;4.0;Czerwony;442120;2020;K;30;Utah
Audi;Sedan;2.0;Zielony;38637;2017;K;29;Ohio
Volkswagen;Pick-up;1.5;Brazowy;40375;2019;M;57;New Mexico
BMW;SUV;1.5;Czarny;336136;2014;M;67;Arizona
Chevrolet;Sedan;4.5;Szary;348769;2017;K;24;Wyoming
Nissan;Pick-up;3.0;Rozowy;453951;2014;M;30;Vermont
Volkswagen;Sedan;2.5;Fioletowy;337931;2017;M;62;Rhode Island
Dodge;Sedan;5.0;Bialy;137442;2009;M;32;Michigan
Nissan;Sedan;5.0;Srebrny;350340;2008;K;58;Pennsylvania
Audi;Hatch-back;4.0;Srebrny;133767;2017;M;41;South Carolina
Ford;Sedan;2.5;Czerwony;372389;2009;M;63;New Mexico
Ford;Hatch-back;3.5;Bialy;404381;2014;K;61;Arizona
Chrysler;Sedan;4.5;Czarny;340710;2019;M;66;Louisiana
Cadilac;Kabriolet;2.5;Szary;448170;2014;M;49;New Mexico
Audi;Cupe;4.5;Fioletowy;381564;2016;K;27;South Dakota
Nissan;Sedan;4.0;Czarny;241873;2017;K;47;DC
Nissan;Sedan;5.0;Zielony;206104;2015;K;64;Kentucky
Mercedes;Kombi;1.5;Fioletowy;130375;2016;M;54;Indiana
Ford;Sedan;2.5;Czerwony;454783;2019;K;67;Kansas
Dodge;Sedan;1.5;Czarny;449372;2010;M;56;Rhode Island
Cadilac;Cupe;4.5;Zielony;477654;2020;M;25;Vermont
Honda;Hatch-back;3.0;Niebieski;90022;2013;K;20;Tennessee
Nissan;Minivan;2.5;Zielony;366143;2019;K;20;Texas
Ford;Cupe;2.0;Bialy;191428;2008;M;66;Idaho
BMW;Kabriolet;4.0;Srebrny;41141;2010;K;47;New Mexico
BMW;Hatch-back;3.0;Srebrny;233948;2012;K;20;DC
Ford;Minivan;2.0;Zolty;285199;2009;K;28;North Carolina
Cadilac;Cupe;3.5;Bialy;117591;2016;M;55;Utah
Volkswagen;Sedan;3.0;Zolty;153424;2014;M;57;Georgia
BMW;SUV;2.0;Niebieski;375112;2020;M;45;North Carolina
Cadilac;Sedan;2.0;Czarny;41108;2019;K;26;Colorado
Chevrolet;Kabriolet;1.5;Rozowy;56864;2018;M;50;Wyoming
Toyota;Sedan;1.5;Fioletowy;258493;2008;M;61;Utah
Dodge;SUV;3.0;Szary;379768;2012;K;58;North Dakota
Cadilac;Kabriolet;5.0;Fioletowy;492446;2016;K;56;New Mexico
Chevrolet;Sedan;4.5;Zielony;226299;2010;K;29;Texas
Volkswagen;Kabriolet;1.5;Niebieski;282555;2013;K;58;Arkansas
Chrysler;SUV;2.0;Czarny;317178;2008;K;31;Wisconsin
BMW;Cupe;2.5;Rozowy;180566;2015;M;53;Minnesota
Ford;SUV;4.5;Rozowy;32425;2010;M;33;Florida
Audi;Kabriolet;4.0;Czerwony;227379;2020;K;47;DC
Nissan;Kabriolet;4.5;Niebieski;93800;2020;K;37;Arizona
Mercedes;Cupe;3.0;Niebieski;201853;2009;K;27;Wisconsin
Cadilac;Minivan;5.0;Czerwony;84957;2009;K;29;Georgia
Mercedes;Minivan;3.0;Szary;78366;2011;K;27;Ohio
Volkswagen;Cupe;2.0;Zolty;45084;2010;K;22;Virginia
Nissan;Kabriolet;2.5;Brazowy;328024;2015;M;61;North Carolina
Chrysler;Sedan;5.0;Niebieski;222838;2009;K;53;New Mexico
Chrysler;Sedan;5.0;Zielony;136705;2010;M;21;New York
Cadilac;Minivan;4.5;Czarny;435250;2017;K;23;South Carolina
Chevrolet;Cupe;3.5;Srebrny;50447;2010;K;70;Iowa
Chevrolet;Kabriolet;4.5;Fioletowy;257389;2020;K;59;Florida
Ford;Hatch-back;2.5;Zielony;324793;2017;M;59;New Hampshire
Chevrolet;Kombi;1.5;Fioletowy;190196;2018;K;32;Alaska
BMW;Sedan;3.0;Czarny;206667;2009;M;67;Texas
Toyota;Kombi;1.5;Bialy;106618;2019;M;24;Illinois
BMW;Minivan;2.0;Bialy;342146;2015;K;28;Wyoming
Mercedes;Hatch-back;3.5;Niebieski;233185;2008;M;20;Vermont
BMW;Cupe;5.0;Rozowy;445471;2008;M;30;South Carolina
Ford;Kabriolet;3.0;Zolty;145485;2020;K;64;Idaho
Chrysler;Cupe;1.5;Brazowy;159499;2014;K;35;Texas
Cadilac;SUV;2.5;Szary;34976;2018;M;52;West Virginia
Volkswagen;Cupe;4.5;Rozowy;326159;2019;M;50;Tennessee
Mercedes;Cupe;1.5;Czarny;299362;2016;K;58;New Mexico
Audi;Kombi;2.5;Brazowy;130944;2020;M;44;Florida
Nissan;Sedan;4.0;Srebrny;178387;2008;K;58;Michigan
Nissan;SUV;1.5;Czerwony;390285;2020;M;52;Nevada
Chevrolet;Sedan;4.5;Rozowy;388622;2008;M;29;Colorado
Mercedes;Minivan;4.5;Brazowy;259929;2013;K;66;Kentucky
Cadilac;Sedan;1.5;Srebrny;164064;2008;M;65;Illinois
Honda;Cupe;3.0;Fioletowy;457306;2014;M;30;Utah
Dodge;Minivan;5.0;Zolty;233601;2012;M;29;New York
Ford;Sedan;4.5;Niebieski;137490;2014;M;32;Alaska
Volkswagen;Minivan;4.5;Fioletowy;293937;2015;M;32;Ohio
Audi;Kabriolet;2.0;Zielony;306276;2015;K;50;Delaware
Dodge;Kombi;2.0;Srebrny;377404;2013;M;69;Arkansas
Ford;Cupe;3.0;Fioletowy;192081;2012;K;56;Illinois
Volkswagen;Sedan;4.0;Czerwony;434776;2016;M;65;Maryland
Honda;Kabriolet;2.0;Czarny;450394;2016;M;26;Hawaii
Nissan;Minivan;2.5;Czerwony;340817;2008;K;56;Nevada
Ford;Sedan;2.0;Czarny;459415;2017;K;36;Rhode Island
BMW;Hatch-back;4.0;Czerwony;68570;2009;M;41;North Carolina
BMW;Cupe;1.5;Brazowy;389382;2018;M;37;Illinois
Cadilac;Minivan;3.5;Zielony;494035;2010;M;46;California
Ford;Kombi;5.0;Fioletowy;484408;2008;M;26;Vermont
Nissan;Sedan;5.0;Fioletowy;297776;2009;K;39;Maryland
Toyota;Sedan;1.5;Szary;261729;2020;M;23;Connecticut
Toyota;Sedan;4.0;Niebieski;176954;2009;K;29;Alaska
BMW;Sedan;1.5;Szary;278606;2020;M;30;Oregon
Cadilac;Sedan;1.5;Niebieski;279062;2019;M;56;Oregon
Chrysler;Hatch-back;2.0;Bialy;39863;2011;K;22;South Carolina
Cadilac;Minivan;1.5;Czarny;418792;2008;K;57;South Carolina
Mercedes;Kombi;2.0;Czerwony;178368;2013;M;23;Ohio
Volkswagen;Pick-up;5.0;Niebieski;279386;2010;M;42;New Hampshire
Nissan;Kabriolet;2.0;Srebrny;45482;2010;K;60;Delaware
Volkswagen;Kabriolet;5.0;Srebrny;171177;2018;K;39;Connecticut
Mercedes;Sedan;1.5;Zielony;200276;2018;M;29;Iowa
Chevrolet;Minivan;2.5;Szary;148468;2009;M;28;Wisconsin
Dodge;Sedan;2.5;Fioletowy;40087;2015;K;45;Missouri
BMW;Cupe;1.5;Szary;94779;2009;M;58;Rhode Island
BMW;Sedan;5.0;Fioletowy;357221;2009;K;52;Oklahoma
Honda;Cupe;2.0;Brazowy;350638;2018;M;43;New Hampshire
Ford;SUV;2.0;Srebrny;356633;2012;M;39;Mississippi
Chevrolet;Kabriolet;3.0;Zolty;497986;2012;K;31;Arkansas
Volkswagen;Sedan;2.0;Czerwony;451458;2011;M;60;Alabama
Mercedes;Sedan;4.0;Czerwony;82489;2018;M;20;North Carolina
Dodge;Sedan;4.5;Czerwony;424813;2017;M;65;South Carolina
Toyota;Hatch-back;4.5;Srebrny;193049;2014;M;28;Kansas
Ford;Hatch-back;2.5;Srebrny;436631;2016;M;65;Georgia
Audi;SUV;2.0;Czerwony;326802;2016;K;52;Wyoming
Chevrolet;Sedan;3.5;Brazowy;316080;2008;M;50;Missouri
Ford;Cupe;1.5;Fioletowy;421465;2017;K;27;Rhode Island
BMW;Hatch-back;3.5;Srebrny;193298;2017;M;57;Florida
Honda;Sedan;3.5;Czerwony;197066;2018;M;46;Massachusetts
Toyota;Cupe;5.0;Zielony;484714;2011;K;62;Florida
Dodge;Sedan;4.0;Rozowy;393716;2012;K;57;New Mexico
Honda;Kabriolet;3.5;Niebieski;408783;2011;M;21;Maryland
Ford;Sedan;3.0;Czarny;375719;2014;K;21;New Hampshire
Cadilac;SUV;4.5;Czarny;99704;2008;M;32;Kansas
Chrysler;Kombi;1.5;Srebrny;474006;2008;K;20;Alaska
Chrysler;Hatch-back;4.0;Zielony;140926;2020;K;45;New Hampshire
Chrysler;Cupe;1.5;Zolty;251675;2018;K;60;Virginia
Toyota;Hatch-back;3.0;Bialy;481288;2014;M;20;Colorado
Chrysler;Cupe;2.0;Zielony;410289;2020;K;56;Maine
Chevrolet;Minivan;4.0;Zielony;349433;2019;M;28;Texas
Ford;Minivan;3.5;Fioletowy;195916;2010;K;64;Illinois
Toyota;Minivan;4.5;Fioletowy;125334;2011;K;44;Florida
Honda;SUV;4.5;Fioletowy;231962;2013;M;38;Texas
Dodge;Kabriolet;4.0;Czarny;323761;2015;K;63;North Carolina
Audi;Sedan;3.0;Szary;459641;2011;M;33;New Mexico
Honda;Kabriolet;3.5;Zolty;297107;2020;M;30;New Hampshire
Honda;SUV;2.0;Niebieski;167045;2015;K;40;New Jersey
Ford;Hatch-back;3.0;Szary;85911;2009;M;50;Vermont
Cadilac;Minivan;2.0;Brazowy;312816;2014;M;40;Maine
Dodge;Sedan;2.5;Czerwony;49930;2015;K;58;Pennsylvania
Cadilac;Kabriolet;4.0;Szary;462347;2009;M;56;West Virginia
Audi;Cupe;3.5;Niebieski;487078;2019;K;66;Massachusetts
Mercedes;SUV;4.0;Rozowy;284547;2011;M;62;Louisiana
Volkswagen;Kabriolet;3.0;Czerwony;313255;2010;K;42;Massachusetts
Toyota;SUV;2.0;Brazowy;74298;2017;M;46;Massachusetts
Ford;Kabriolet;4.5;Szary;350405;2012;K;64;Indiana
Nissan;Pick-up;2.5;Rozowy;31691;2014;K;48;Utah
Honda;Minivan;4.5;Niebieski;487356;2015;K;45;Hawaii
BMW;Kabriolet;5.0;Fioletowy;366498;2009;M;25;Rhode Island
Chevrolet;Kombi;1.5;Czerwony;310898;2012;K;53;Minnesota
Toyota;Cupe;4.0;Niebieski;450781;2019;M;65;Idaho
Honda;Pick-up;3.5;Rozowy;345523;2020;K;60;New Jersey
Ford;Kabriolet;2.0;Czerwony;485253;2008;M;43;Arkansas
BMW;Kabriolet;3.0;Rozowy;205861;2019;K;66;Illinois
Audi;Kombi;1.5;Srebrny;58194;2013;M;67;South Dakota
Dodge;Sedan;4.0;Zielony;316665;2020;M;62;South Dakota
Nissan;Pick-up;4.5;Czarny;71734;2016;M;64;Mississippi
BMW;Minivan;1.5;Zielony;61850;2020;K;64;Nebraska
Audi;Kabriolet;4.5;Bialy;395600;2016;M;26;California
Chrysler;Kombi;2.0;Niebieski;53100;2011;K;49;Louisiana
Audi;SUV;2.0;Szary;84967;2016;K;39;Virginia
Toyota;Sedan;1.5;Zolty;303569;2012;K;41;Pennsylvania
Chevrolet;Hatch-back;4.5;Niebieski;55071;2014;K;53;Washington
Honda;Cupe;1.5;Bialy;487791;2020;M;68;California
Chrysler;SUV;2.0;Srebrny;224712;2012;M;47;Colorado
Mercedes;Hatch-back;5.0;Szary;410984;2010;M;29;Rhode Island
Toyota;SUV;4.0;Brazowy;242776;2020;K;53;New Jersey
Volkswagen;SUV;2.0;Rozowy;59583;2017;M;63;DC
Volkswagen;Cupe;4.0;Niebieski;311474;2010;K;47;Alabama
Ford;Sedan;4.0;Niebieski;79744;2014;M;26;Louisiana
Nissan;Pick-up;3.5;Srebrny;138787;2010;M;37;Vermont
Toyota;Cupe;5.0;Czarny;336799;2013;M;41;West Virginia
Ford;Minivan;3.5;Rozowy;268294;2018;M;49;Massachusetts
Mercedes;Pick-up;4.0;Niebieski;175878;2009;M;47;North Dakota
Chrysler;Minivan;1.5;Szary;36053;2012;K;69;Kentucky
Mercedes;Sedan;2.0;Szary;70692;2013;K;49;South Carolina
Dodge;Sedan;3.5;Brazowy;336553;2018;M;37;DC
BMW;Sedan;2.0;Niebieski;95823;2013;K;70;Arizona
Volkswagen;Kombi;2.0;Fioletowy;37801;2013;K;38;Rhode Island
Dodge;Kombi;4.5;Srebrny;103990;2016;M;55;Pennsylvania
Nissan;Sedan;3.0;Brazowy;38990;2011;K;45;Ohio
Toyota;SUV;3.5;Bialy;43949;2018;M;54;North Dakota
Chevrolet;Minivan;3.5;Bialy;360221;2018;M;28;Pennsylvania
Mercedes;Minivan;4.0;Bialy;392732;2018;M;30;Montana
Toyota;Cupe;2.5;Fioletowy;103818;2014;K;26;New Jersey
Ford;Pick-up;3.5;Rozowy;492927;2019;K;44;Colorado
BMW;Cupe;3.5;Rozowy;279547;2014;M;30;Minnesota
Honda;Kombi;3.0;Brazowy;337587;2013;K;56;Washington
Nissan;Kombi;4.0;Fioletowy;324112;2014;M;60;Nebraska
Chrysler;Pick-up;3.5;Bialy;397869;2011;M;60;Massachusetts
Chrysler;Cupe;3.5;Zolty;141086;2012;M;63;Montana
Ford;Cupe;3.0;Brazowy;141060;2010;K;47;Arkansas
Chevrolet;SUV;4.5;Czarny;261486;2013;K;29;South Dakota
Cadilac;Kabriolet;5.0;Fioletowy;158977;2018;M;59;Oklahoma
Volkswagen;Hatch-back;5.0;Bialy;44115;2008;K;66;Iowa
Toyota;Cupe;4.5;Srebrny;490548;2011;K;30;New Jersey
Nissan;Hatch-back;2.5;Srebrny;64575;2019;K;59;Vermont
Chrysler;Sedan;4.0;Zolty;489348;2016;K;37;Illinois
Volkswagen;SUV;4.5;Brazowy;372788;2016;K;40;Minnesota
Nissan;Minivan;3.0;Czarny;109070;2010;K;32;Arizona
Honda;SUV;2.5;Czerwony;81969;2012;K;58;Oklahoma
Audi;Sedan;4.5;Zolty;121403;2020;K;22;Arkansas
BMW;Sedan;5.0;Brazowy;425612;2019;K;26;Mississippi
BMW;Sedan;4.5;Szary;405253;2009;M;36;Minnesota
Chrysler;Hatch-back;2.5;Fioletowy;92604;2019;M;34;Massachusetts
Mercedes;Cupe;4.0;Zolty;103215;2014;M;24;Connecticut
Ford;Sedan;1.5;Bialy;440101;2019;M;65;Montana
Dodge;Kabriolet;2.0;Srebrny;176093;2010;K;31;Nebraska
Dodge;Minivan;4.0;Srebrny;184708;2011;M;47;North Dakota
Volkswagen;SUV;2.5;Zolty;458464;2009;K;40;South Dakota
Ford;Kombi;2.5;Zielony;465365;2010;K;35;Utah
Audi;Sedan;4.0;Czarny;59050;2010;M;21;North Dakota
Cadilac;Minivan;3.5;Srebrny;184104;2008;M;65;South Dakota
Dodge;Kabriolet;3.0;Rozowy;105672;2012;K;58;Wisconsin
Ford;Hatch-back;2.5;Bialy;436294;2018;M;69;Maine
Ford;Kombi;3.0;Szary;479250;2017;K;36;New Jersey
Chevrolet;Minivan;3.5;Czerwony;349653;2018;K;29;West Virginia
Cadilac;Pick-up;3.0;Bialy;120314;2016;K;65;Maine
Ford;Pick-up;5.0;Fioletowy;410061;2020;M;41;Minnesota
Ford;Kabriolet;5.0;Niebieski;350399;2018;K;63;Ohio
Honda;Kombi;3.0;Brazowy;240647;2015;M;62;Minnesota
Chevrolet;Sedan;1.5;Czerwony;371742;2010;M;26;Hawaii
Mercedes;Kombi;3.5;Czarny;464748;2013;M;55;Minnesota
BMW;Hatch-back;3.5;Niebieski;193091;2018;K;33;South Carolina
Chevrolet;Kombi;2.0;Czarny;499049;2020;M;34;Hawaii
Nissan;Hatch-back;1.5;Bialy;164047;2009;K;32;Connecticut
Cadilac;Sedan;4.0;Fioletowy;174973;2019;M;66;Colorado
Ford;SUV;4.0;Bialy;489309;2019;K;26;Rhode Island
Mercedes;Sedan;1.5;Zielony;340125;2017;M;38;Illinois
Nissan;Kabriolet;3.5;Niebieski;121624;2016;M;64;New Jersey
Toyota;Sedan;5.0;Rozowy;33242;2018;K;67;Idaho
Chrysler;Cupe;3.0;Czerwony;236543;2018;K;48;South Dakota
Audi;Kombi;3.0;Czerwony;309552;2009;K;60;Florida
Chrysler;Hatch-back;3.5;Zielony;159094;2017;K;31;Nebraska
Chrysler;Kabriolet;5.0;Czerwony;108447;2010;M;57;North Carolina
Ford;Pick-up;2.0;Srebrny;79838;2012;M;34;Idaho
Volkswagen;Kabriolet;1.5;Szary;476654;2012;M;23;Connecticut
Nissan;Minivan;1.5;Czarny;124433;2017;K;52;Vermont
Ford;Pick-up;4.0;Fioletowy;441470;2013;M;24;South Carolina
Honda;SUV;3.0;Czerwony;446967;2019;M;29;Texas
Mercedes;Minivan;2.0;Srebrny;93388;2009;M;20;Georgia
Toyota;Minivan;5.0;Niebieski;264926;2020;K;37;Missouri
Dodge;Hatch-back;2.5;Bialy;131382;2014;K;26;Montana
Audi;Hatch-back;2.0;Zolty;164333;2012;M;29;South Carolina
Honda;Pick-up;4.5;Zielony;492750;2009;M;52;Wisconsin
Audi;SUV;4.5;Rozowy;333255;2009;M;65;Nevada
Chrysler;Minivan;3.5;Rozowy;225271;2017;K;28;Maine
Audi;Kabriolet;2.5;Bialy;37239;2016;K;69;Delaware
Mercedes;Kombi;2.5;Srebrny;402841;2019;K;35;Minnesota
Chrysler;Sedan;2.0;Zielony;34949;2018;K;61;California
Toyota;Sedan;4.0;Bialy;208290;2014;K;33;South Carolina
Audi;Kabriolet;3.0;Niebieski;427175;2018;K;24;West Virginia
Toyota;Hatch-back;4.0;Srebrny;189999;2014;M;21;New York
Volkswagen;Kabriolet;1.5;Czarny;407229;2013;M;21;New Hampshire
Toyota;Kabriolet;3.0;Zolty;397843;2011;M;48;Colorado
Honda;Kabriolet;4.0;Czerwony;405254;2016;K;36;Hawaii
Mercedes;Sedan;2.5;Zolty;137365;2010;K;27;Alabama
BMW;Sedan;5.0;Brazowy;478219;2020;M;45;Virginia
Ford;Kombi;1.5;Zolty;78916;2015;M;36;Connecticut
Audi;Cupe;3.5;Czerwony;322140;2010;K;40;North Carolina
Volkswagen;Cupe;1.5;Bialy;368506;2013;M;41;Kentucky
Dodge;Minivan;3.5;Srebrny;285529;2008;K;50;Vermont
Nissan;Kombi;3.5;Bialy;384877;2014;K;24;DC
Mercedes;Sedan;3.5;Szary;172260;2015;M;34;Connecticut
Honda;SUV;2.0;Zolty;240151;2010;M;42;Nebraska
Nissan;Minivan;2.5;Rozowy;228197;2008;M;25;Louisiana
Dodge;Sedan;4.5;Czarny;289836;2018;K;52;Hawaii
Cadilac;SUV;2.0;Zielony;34179;2016;M;63;Maine
Volkswagen;Minivan;3.5;Czarny;275307;2020;M;21;South Dakota
Dodge;Cupe;4.5;Brazowy;430240;2020;M;45;Nebraska
BMW;Sedan;1.5;Rozowy;158362;2011;M;58;Pennsylvania
Nissan;Kabriolet;1.5;Fioletowy;35575;2011;M;62;Alabama
Audi;SUV;2.5;Szary;487404;2016;M;63;West Virginia
Chrysler;Minivan;4.5;Fioletowy;86602;2008;K;67;Nebraska
Cadilac;Minivan;2.0;Fioletowy;150869;2017;K;43;Wyoming
